1035	1257,1260
1036	1261,1262
1037	1263,1264
1038	1265,1267
1039	1268,1269
1040	1270
1041	1271,1272
1042	1273
1043	1274,1276
1044,1045	1277
1046	-1
1047	1278
-1	1279
1048	1280
1049	1281
1050,1051	1282,1285
1052	1286
1053	1287
1054	1288
1055	1289
1056	-1
1057	1290
-1	1291
1058	1292
1059	1293
1060	1294,1295
1061	1296,1297
1062	1298
1063	1299
1064	1300,1302
1065	1303,1305
1066,1067	1306,1308
1068	-1
1069	1309
-1	1310
1070,1071	1311,1312
1072	1313,1314
1073	1315
1074,1075	1316,1319
1076	1320
1077,1078	1321,1322
1079	1323,1324
1080	1325
1081	1326
1082	1327
1083	1328,1330
1084	1331
1085	1332
1086	1333,1335
1087	1336
1088	1337,1340
1089	1341,1342
1090	1343
1091	1344
1092	1345
1093	1346,1347
1094	1348,1349
1095	-1
1096	1350
-1	1351
1097	1352,1353
1098,1099	1354
1100	1355
1101	1356
1102	1357
1103	1358,1359
1104	1360,1361
1105	1362
1106,1107	1363
1108	1364
1109	1365,1367
1110	1368
1111	1369
1112	1370
1113	1371
1114	-1
1115	1372
-1	1373
1116	1374
1117	1375
1118	1376,1377
1119	1378
1120	1379
1121,1122	1380,1381
1123	1382
1124	1383
1125,1126	1384
1127	1385,1386
1128	1387
1129	1388
1130	1389
1131,1132	1390
1133	-1
1134	1391
-1	1392
1135,1136	1393
1137	1394
1138	1395
1139	1396
1140	1397,1398
1141	1399
1142	1400
1143	1401
1144	1402
1145,1146	1403,1404
1147	1405,1406
1148,1149	1407,1409
1150	1410
1151	-1
1152	1411
-1	1412
1153	1413
1154	1414
1155	1415
1156,1158	1416,1420
1159	-1
1160	1421
-1	1422
1161,1162	1423
1163	1424
1164	1425
1165	1426,1427
1166	1428
1167	1429,1430
1168	1431
1169	1432
1170,1172	1433
1173	1434
1174	1435
1175	1436
1176	1437
1177	1438
1178	-1
1179	1439
-1	1440
1180	1441,1442
1181	-1
1182	-1
1183	-1
1184	1443
1185	1444
1186	1445
1187	-1
1188	-1
1189	-1
1190	1446
1191	1447,1448
1192	1449
1193	1450,1451
1194	-1
1195	-1
1196	-1
1197	1452,1453
1198	1454
1199,1201	1455
1202	-1
1203	-1
1204	-1
1205	-1
1206	-1
1207	-1
1208	-1
1209	-1
1210	-1
1211	-1
1212	-1
1213	-1
1214	1456
1215	-1
1216	-1
1217	-1
1218	1457
1219	-1
1220	-1
1221	-1
1222	-1
-1	1458
1223,1224	1459
1225,1226	1460
1227	1461
1228	1462
1229	1463
1230	1464
1231,1232	1465
1233	-1
1234	1466
-1	1467
1235	1468
1236	1469,1471
1237	1472
1238	1473,1474
1239	-1
1240	1475
-1	1476
1241,1242	1477,1478
1243	1479
1244	1480
1245	1481
1246	-1
1247	1482
-1	1483
1248	1484,1485
1249	1486
1250	1487,1488
1251	1489,1490
1252	1491
1253	1492
1254	1493
1255	1494,1496
1256	1497
1257	1498
1258	1499,1500
1259	1501
-1	1502
1260,1261	1503
1262	1504
1263	1505
1264	1506,1507
1265,1266	1508,1509
1267	1510
1268	-1
1269	1511
-1	1512
1270	1513,1515
1271,1272	1516
1273,1274	1517,1518
1275	1519
1276	1520,1521
1277	1522
1278	1523,1524
1279	1525
1280,1281	1526
1282	-1
1283	1527
-1	1528
1284	1529,1532
1285,1286	1533,1535
1287	1536
1288	1537
1289	1538
1290	1539
1291	1540,1541
1292	1542,1547
1293,1294	1548,1549
1295,1296	1550,1554
1297	1555,1557
1298	-1
1299	1558
-1	1559
1300	1560
1301	1561
1302	1562,1563
1303	1564,1565
1304,1305	1566,1568
1306	1569,1570
1307	-1
1308	1571
1309	1572,1573
1310	1574
1311	1575,1576
1312	1577
1313	1578,1580
1314	1581,1582
1315	1583
1316,1317	1584
1318	1585,1586
1319,1322	1587,1591
1323	1592
1324	1593,1594
1325	1595,1596
1326,1327	1597
1328	-1
1329	1598
-1	1599
1330	1600
1331	1601
1332	1602
1333	1603,1604
1334	1605
1335	1606
1336	1607,1609
1337	1610,1611
1338	1612,1614
1339	-1
1340	1615
-1	1616
1341	1617
1342	1618
1343	1619,1621
1344	1622
1345	1623
1346	1624,1626
1347	1627
1348	1628
1349	1629
1350	1630
1351	1631
1352	1632,1633
1353	1634
1354	1635
1355	-1
1356	1636
-1	1637
1357	1638
1358	1639,1640
1359,1360	1641,1644
1361,1362	1645
1363	1646,1647
1364	1648
1365,1366	1649,1650
1367	1651,1652
1368	-1
1369	-1
-1	1653
-1	1654
-1	1655
-1	1656
-1	1657
1370	1658
1371	1659
1372	1660
1373	1661
1374	1662
1375,1376	1663,1664
1377,1378	1665
1379	1666
1380	-1
1381	1667
-1	1668
1382	1669
1383	-1
1384	-1
1385	-1
-1	1670
-1	1671
-1	1672
1386	1673
1387,1388	1674,1675
1389	1676,1678
1390	1679,1680
1391	1681
1392	-1
1393	1682
-1	1683
1394	1684
1395,1396	1685,1686
1397	1687
1398	1688
1399	1689,1690
1400	1691
1401	1692
1402,1404	1693,1695
1405	1696,1698
1406	1699
1407	-1
1408	1700
-1	1701
1409,1412	1702
1413	1703,1705
1414,1416	1706,1708
1417	1709
1418	1710
1419	1711
1420	1712
1421	1713
1422,1424	1714
1425,1426	1715
1427,1428	1716,1718
1429	1719
1430	1720
1431	1721
1432	1722
1433	1723,1724
1434	1725,1727
1435	1728,1729
1436	1730
1437,1438	1731
1439	1732,1733
1440	1734
1441	1735,1737
1442	1738
1443	1739
1444,1445	1740,1742
1446	1743
1447,1448	1744,1745
1449	1746,1747
1450,1453	1748,1751
1454,1455	1752
1456	-1
1457	1753
-1	1754
1458	1755
1459	1756
1460	1757
1461	1758
1462	1759
1463	1760
1464	1761
1465,1466	1762,1763
1467,1468	1764
1469	1765
1470,1471	1766,1768
1472	1769,1770
1473	1771
1474	1772
1475	1773
1476,1477	1774,1776
1478	1777
1479	-1
1480	1778
-1	1779
1481	1780
